CompanyCode,StockShortName,Shariah,Sector,CompanyFullName,Date
9261,GADANG,Yes,Construction ,GADANG HOLDINGS BHD,20210704
5398,GAMUDA,Yes,Construction ,GAMUDA BERHAD,20210704
5209,GASMSIA,Yes,"Gas, Water & Multi-utilities ",GAS MALAYSIA BERHAD,20210704
5226,GBGAQRS,Yes,Construction ,GABUNGAN AQRS BERHAD,20210704
7676,GCAP,Yes,Transportation & Logistics Services ,G CAPITAL BERHAD,20210704
5102,GCB,Yes,Food & Beverages ,GUAN CHONG BERHAD,20210704
5592,GCE,No,"Travel, Leisure & Hospitality ",GRAND CENTRAL ENTERPRISES BHD,20210704
0198,GDB,Yes,Construction ,GDB HOLDINGS BERHAD,20210704
0078,GDEX,Yes,Transportation & Logistics Services ,GD EXPRESS CARRIER BERHAD,20210704
0104,GENETEC,Yes,Technology Equipment ,GENETEC TECHNOLOGY BERHAD,20210704
4715,GENM,No,"Travel, Leisure & Hospitality ",GENTING MALAYSIA BERHAD,20210704
2291,GENP,Yes,Plantation ,GENTING PLANTATIONS BERHAD,20210704
3182,GENTING,No,"Travel, Leisure & Hospitality ",GENTING BERHAD,20210704
7197,GESHEN,Yes,"Industrial Materials, Components & Equipment ",GE-SHEN CORPORATION BERHAD,20210704
5079,GETS,Yes,"Travel, Leisure & Hospitality ",GETS GLOBAL BERHAD,20210704
0039,GFM,Yes,Industrial Services ,GFM SERVICES BERHAD,20210704
0021,GHLSYS,Yes,Digital Services ,GHL SYSTEMS BERHAD,20210704
7192,GIIB,Yes,Auto Parts ,GIIB HOLDINGS BERHAD,20210704
3204,GKENT,Yes,Construction ,GEORGE KENT (MALAYSIA) BERHAD,20210704
7382,GLBHD,Yes,Plantation ,GOLDEN LAND BERHAD,20210704
5020,GLOMAC,Yes,Property ,GLOMAC BERHAD,20210704
5220,GLOTEC,Yes,"Industrial Materials, Components & Equipment ",GLOBALTEC FORMATION BERHAD,20210704
9962,GMUTUAL,Yes,Property ,GROMUTUAL BERHAD,20210704
0045,GNB,Yes,Software ,G NEPTUNE BERHAD,20210704
1147,GOB,Yes,Property ,GLOBAL ORIENTAL BERHAD,20210704
0074,GOCEAN,Yes,Food & Beverages ,GREEN OCEAN CORPORATION BERHAD,20210704
0828EA,GOLDETF,Yes,Commodity Fund ,TRADEPLUS SHARIAH GOLD TRACKER,20210704
2135,GOPENG,Yes,Plantation ,GOPENG BERHAD,20210704
0082,GPACKET,No,Telecommunications Service Providers ,GREEN PACKET BERHAD,20210704
5649,GPHAROS,Yes,Wood & Wood Products ,GOLDEN PHAROS BERHAD,20210704
03029,GPP,Yes,Industrial Services ,GPP RESOURCES BERHAD,20210704
0056,GRANFLO,Yes,Digital Services ,GRAND-FLO BERHAD,20210704
0208,GREATEC,Yes,Technology Equipment ,GREATECH TECHNOLOGY BERHAD,20210704
0136,GREENYB,Yes,Agricultural Products ,GREENYIELD BERHAD,20210704
7022,GTRONIC,Yes,Semiconductors ,GLOBETRONICS TECHNOLOGY BERHAD,20210704
3247,GUH,Yes,"Industrial Materials, Components & Equipment ",GUH HOLDINGS BERHAD,20210704
1503,GUOCO,No,Property ,GUOCOLAND (MALAYSIA) BERHAD,20210704
7668,HAIO,No,Retailers ,HAI-O ENTERPRISE BERHAD,20210704
